Date,SampleID,Species,Plot,LMA,LWC,Cmass,Nmass,Carea,Narea
20190703,BNL13347,VAUL,-9999,91.034,53.57,508.4,17.7,46.282,1.611
20190703,BNL13348,ALVI5,-9999,87.635,55.69,487.6,24.1,42.731,2.112
20190703,BNL13349,ALVI5,-9999,85.1,54.67,494.2,25.3,42.056,2.153
20190703,BNL13350,ALVI5,-9999,93.582,54.46,500.2,28.4,46.81,2.658
20190703,BNL13351,BENA,-9999,85.332,60.92,493.8,28.4,42.137,2.423
20190703,BNL13352,VAUL,-9999,94.92,48.47,526.3,16.1,49.956,1.528
20190703,BNL13353,SAPU15,-9999,94.752,56.57,514.3,27.4,48.731,2.596
20190703,BNL13354,BENA,-9999,81.084,58.01,480,31.8,38.92,2.578
20190703,BNL13355,ALVI5,-9999,85.202,55.43,494.4,25.1,42.124,2.139
20190703,BNL13483,ALVI5,-9999,91.414,54.70,491.2,23.3,44.902,2.13
20190703,BNL13484,BEGL,-9999,71.993,54.79,502.2,25.1,36.155,1.807
20190703,BNL13485,BENA,-9999,100.615,50.29,488.1,21.1,49.11,2.123
20190703,BNL13486,ARALA7,-9999,146.745,52.21,497.1,16.1,72.947,2.363
20190703,BNL13487,POBIP,-9999,83.803,74.85,479.9,26.6,40.217,2.229
20190703,BNL13488,BEGL,-9999,76.881,57.39,496.3,25.4,38.156,1.953
20190703,BNL13489,ALVI5,-9999,88.526,56.82,488.4,29.2,43.236,2.585
20190703,BNL13490,SAPU15,-9999,82.922,63.28,497.4,20.6,41.245,1.708
20190703,BNL13491,ARALA7,-9999,153.135,51.44,500.8,15.8,76.69,2.42
20190703,BNL13492,ARALA7,-9999,128.684,57.08,512.1,16.7,65.899,2.149
20190703,BNL13493,ARALA7,-9999,138.733,55.28,508.2,16.6,70.504,2.303
20190703,BNL13494,BEPU4,-9999,75.238,62.99,490.6,19.3,36.912,1.452
20190704,BNL12986,BENA,-9999,99.874,54.39,493.6,23.2,49.298,2.317
20190704,BNL12987,BEGL,-9999,68.441,58.25,516.2,24.4,35.329,1.67
20190704,BNL12983,BEGL,-9999,80.581,57.43,502.9,23.6,40.524,1.902
20190704,BNL12981,EMNI,-9999,166.834,55.13,533.1,12.6,88.939,2.102
20190705,BNL12964,BENA,-9999,64.773,61.56,500.2,27.4,32.4,1.775
20190705,BNL12965,ARALA7,-9999,103.25,57.36,489.3,15.9,50.52,1.642
20190705,BNL12966,EMNI,-9999,173.639,48.58,526,8.8,91.334,1.528
20190705,BNL12967,DROCA2,-9999,106.708,53.08,493.2,19.5,52.628,2.081
20190705,BNL12968,ARALA7,-9999,128.217,57.68,493.3,15.2,63.25,1.949
20190705,BNL12969,BEGL,-9999,71.303,55.25,506.7,21.9,36.129,1.562
20190705,BNL13500,SAPH,-9999,114.4,50.04,508,22.5,58.115,2.574
20190705,BNL13071,SAPU15,-9999,101.355,57.64,499.9,21,50.668,2.128
20190705,BNL13072,DROCA2,-9999,142.671,51.13,501,18,71.478,2.568
20190705,BNL13101,ARALA7,-9999,113.333,58.59,494.6,16.9,56.054,1.915
20190705,BNL13055,EMNI,-9999,185.754,33.13,525.1,11.7,97.54,2.173
20190706,BNL13429,ERVA4,-9999,64.517,10.51,480.6,20.6,31.007,1.329
20190706,BNL13428,VAUL,-9999,93.664,19.02,509.6,16.8,47.731,1.574
20190706,BNL13427,ERVA4,-9999,69.049,21.06,480,20.1,33.143,1.388
20190706,BNL13426,SAPU15,-9999,83.662,45.57,505.7,22.9,42.308,1.916
20190706,BNL13425,ALVI5,-9999,84.407,49.63,501.8,24.9,42.355,2.102
20190706,BNL13424,LEDUM,-9999,161.86,46.24,560.3,15.4,90.69,2.493
20190706,BNL13423,VAUL,-9999,115.089,19.62,516.5,15.2,59.443,1.749
20190706,BNL13422,BEGL,-9999,80.144,50.52,507.3,23.9,40.657,1.915
20190706,BNL13421,BENA,-9999,88.284,42.86,507.6,19.9,44.813,1.757
20190706,BNL13420,ERVA4,-9999,53.918,19.31,493.1,22.6,26.587,1.219
20190706,BNL13419,ALVI5,-9999,98.416,51.53,498.1,23.4,49.021,2.303
20190706,BNL13418,VAUL,-9999,106.094,21.46,506.8,17.6,53.769,1.867
20190706,BNL13417,BENA,-9999,89.916,51.76,508.8,22.9,45.749,2.059
20190706,BNL13416,RUCH,-9999,95.262,46.68,478.8,23.1,45.611,2.201
20190706,BNL13415,ALVI5,-9999,96.978,48.43,495.5,23,48.053,2.23
20190706,BNL13414,SAPU15,-9999,89.394,44.13,476.5,21,42.596,1.877
20190706,BNL13410,LEDUM,-9999,174.446,47.63,547.5,14.1,95.509,2.46
20190706,BNL13411,ERVA4,-9999,67.438,11.16,483.1,21,32.579,1.416
20190706,BNL13412,SAPU15,-9999,96.141,42.71,470.4,19.6,45.225,1.884
20190706,BNL13413,RUCH,-9999,66.947,56.86,472.4,31.5,31.626,2.109
20190706,BNL13409,SAGL,-9999,86.095,51.50,471.4,23.7,40.585,2.04
20190706,BNL13408,ALVI5,-9999,95.944,54.05,495,26.3,47.492,2.523
20190706,BNL13048,RUCH,-9999,76.86,56.99,471.5,23.7,36.239,1.822
20190706,BNL13407,ERVA4,-9999,73.59,34.96,476.1,18.4,35.036,1.354
20190706,BNL13406,ALVI5,-9999,97.071,52.58,500.3,24.1,48.564,2.339
20190706,BNL13405,PEFR5,-9999,68.732,68.02,451.3,22.5,31.019,1.546
20190707,BNL12990,SAPH,-9999,108.971,43.21,499.4,22.2,54.42,2.419
20190707,BNL12991,DROCA2,-9999,74.767,52.22,497.3,23.7,37.182,1.772
20190707,BNL12992,ARALA7,-9999,98.149,51.38,485,13.2,47.602,1.296
20190707,BNL12993,ERVA4,-9999,51.93,36.76,459.6,11,23.867,0.571
20190707,BNL12994,KAPR,-9999,275.094,42.83,567.4,6.6,156.089,1.816
20190707,BNL12995,VAVI,-9999,192.945,47.41,515.6,9.9,99.483,1.91
20190707,BNL12996,LEDUM,-9999,214.006,44.31,542.6,11,116.119,2.354
20190707,BNL12997,KAPR,-9999,283.099,36.67,546.7,6.7,154.77,1.897
20190707,BNL12998,SAPH,-9999,78.162,33.75,503.2,21.7,39.331,1.696
20190707,BNL12999,VAVI,-9999,188.365,47.70,508.2,7.9,95.727,1.488
20190707,BNL13000,BEPU4,-9999,68.257,61.09,497.5,27.7,33.958,1.891
20190707,BNL13034,VAVI,-9999,186.681,47.42,514.8,9,96.104,1.68
20190707,BNL13035,BEGL,-9999,74.223,51.49,497,24.4,36.889,1.811
20190707,BNL13036,BENA,-9999,84.574,48.26,494.8,20.8,41.847,1.759
20190707,BNL13037,KAPR,-9999,266.939,40.38,532.1,9.3,142.038,2.483
20190708,BNL13447,DOFR,-9999,49.049,81.78,423.8,26.7,20.787,1.31
20190708,BNL13448,ARALA7,-9999,79.989,60.14,461.3,22.3,36.899,1.784
20190708,BNL13449,SARI4,-9999,69.693,61.24,461.9,28.5,32.191,1.986
20190708,BNL13450,ARALA7,-9999,89.023,62.26,459.4,23.4,40.897,2.083
20190708,BNL13451,VAUL,-9999,96.056,45.85,514.7,22,49.44,2.113
20190708,BNL13452,SAPU15,-9999,71.247,55.21,502.6,25.2,35.809,1.795
20190708,BNL13054,VAUL,-9999,82.464,52.50,497.4,18.8,41.018,1.55
20190708,BNL13495,PEFR5,-9999,57.768,80.32,442.3,36,25.551,2.08
20190708,BNL13496,PEFR5,-9999,59.569,82.62,414.3,25.7,24.679,1.531
20190708,BNL13497,SARI4,-9999,77.092,60.93,456.8,26.1,35.216,2.012
20190708,BNL13498,HIERA,-9999,41.657,69.62,459.5,32.5,19.141,1.354
20190708,BNL13499,DROCA2,-9999,56.801,62.54,503.5,30,28.599,1.704
20190708,BNL13039,SAPU15,-9999,85.345,48.24,501.7,22.9,42.818,1.954
20190708,BNL13040,DAFRF,-9999,56.68,29.81,463.7,26.7,26.282,1.513
20190708,BNL13041,DAFRF,-9999,59.852,35.66,474.5,20.3,28.4,1.215
20190708,BNL13042,ERAN6,-9999,48.718,74.14,454.9,26.1,22.162,1.272
20190708,BNL13043,ERAN6,-9999,65.435,65.11,465.8,25.9,30.48,1.695
20190708,BNL13044,EQAR,-9999,55.773,76.55,396.9,31.3,22.136,1.746
20190708,BNL13045,EQAR,-9999,81.04,66.09,396.9,24.7,32.165,2.002
20190711,BNL13430,EQAR,-9999,77.653,70.41,391.6,17.4,30.409,1.351
20190711,BNL13431,VAUL,-9999,102.562,52.54,514.1,21,52.727,2.154
20190711,BNL13432,BENA,-9999,74.119,55.50,499.1,21.1,36.993,1.564
20190711,BNL13433,RUCH,-9999,85.954,62.31,475.3,26.4,40.854,2.269
20190711,BNL13434,ERAN6,-9999,51.368,77.65,456.7,25.6,23.46,1.315
20190711,BNL13435,ERAN6,-9999,50.369,74.33,464.4,24.8,23.391,1.249
20190711,BNL13436,ERAN6,-9999,56.183,73.05,474.9,29.5,26.681,1.657
20190713,BNL12970,RUCH,-9999,106.952,61.03,478.6,20.7,51.187,2.214
20190713,BNL12989,RUCH,-9999,86.725,62.59,482.6,17.7,41.854,1.535
